ano,unidade,nome_unidade_norm,demanda_efetiva_prevista,demanda_cenario_persistencia,demanda_p025_condicional,demanda_p975_condicional,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_2025_proxy_capacidade,rede,capacity_concept,capacity_coverage,planning_gap,planning_gap_p025,planning_gap_p975,planning_gap_persistencia,gap_positivo
2026,10041,CP CRECHE BEZERRA DE MENEZES - SANTA CRUZ,600.0311406036278,649.8099123662532,358.78489811703867,901.7106224581092,continuante,Parceira,Creche Parceira,10.0,10.1,SANTA CRUZ,-22.92397,-43.67806,157.0,parceira,matriculas_2025_proxy,True,443.0311406036278,201.78489811703867,744.7106224581092,492.80991236625323,True
2026,10052,CP CRECHE COMUNITARIA DEUS E FIEL - UNIDADE VII,533.6061357287658,444.9210000584202,318.5754988204541,802.3912470413571,continuante,,,,,,,,321.0,parceira,matriculas_2025_proxy,True,212.60613572876582,-2.4245011795459277,481.39124704135713,123.92100005842019,True
2026,07040,CP CRECHE VALE DO SOL PRACA SECA,469.1529581080231,429.0917776022045,268.1443769758227,721.9689539528714,continuante,Parceira,Creche Parceira,7.0,7.2,JACAREPAGUÁ,-22.89823,-43.35344,389.0,parceira,matriculas_2025_proxy,True,80.15295810802309,-120.8556230241773,332.9689539528714,40.0917776022045,True
2026,08016,CP ASSOCIACAO CENTRO EDUCACIONAL REBRAL VI,463.5082543870224,403.1683468733584,274.6332765066747,700.0561001371714,continuante,Parceira,Creche Parceira,8.0,8.5,REALENGO,-22.88321,-43.42582,251.0,parceira,matriculas_2025_proxy,True,212.50825438702242,23.63327650667469,449.05610013717137,152.16834687335842,True
2026,10051,CP CRECHE COMUNITARIA DEUS E FIEL - UNIDADE VI,443.8992190379689,361.3650612525375,265.0957698733666,667.3896744806865,continuante,,,,,,,,326.0,parceira,matriculas_2025_proxy,True,117.89921903796892,-60.90423012663342,341.3896744806865,35.36506125253749,True
2026,08009,CP ASSOCIACAO RECREATIVA PINGUINHO DE GENTE,400.8124694263529,297.4854887405347,237.11973750539423,605.7051820514588,continuante,Parceira,Creche Parceira,8.0,8.8,SENADOR CAMARÁ,-22.87421,-43.48822,98.0,parceira,matriculas_2025_proxy,True,302.8124694263529,139.11973750539423,507.7051820514588,199.48548874053472,True
2026,0817807,EDI MARIA DO CARMO SOUZA PIRAN,390.0057154400801,315.96520366711,232.2979945366033,587.4069759558344,continuante,Pública,EDI,8.0,8.19,Bangu,-22.863767,-43.471723,96.0,publica,matriculas_2025_proxy,True,294.0057154400801,136.2979945366033,491.40697595583435,219.96520366711002,True
2026,10072,CP CRECHE COMUNITARIA DEUS E FIEL - UNIDADE X,381.2978236649009,308.7164815345597,227.72815124681608,573.2587490165322,continuante,,,,,,,,125.0,parceira,matriculas_2025_proxy,True,256.2978236649009,102.72815124681608,448.2587490165322,183.7164815345597,True
2026,09035,CP INSTITUTO CRESCER E APRENDER - FILIAL,362.5317337892392,284.3309768637358,216.7596702488016,544.8953998444538,continuante,Parceira,Creche Parceira,9.0,9.18,CAMPO GRANDE,-22.90268,-43.57109,80.0,parceira,matriculas_2025_proxy,True,282.5317337892392,136.7596702488016,464.8953998444538,204.33097686373583,True
2026,07041,CP CRECHE VALE DO SOL TAQUARA,359.80053476058896,313.83115396660844,210.80106952559908,546.1161167714084,continuante,Parceira,Creche Parceira,7.0,7.8,TAQUARA / JACAREPAGUÁ,-22.91733,-43.37196,122.0,parceira,matriculas_2025_proxy,True,237.80053476058896,88.80106952559908,424.11611677140843,191.83115396660844,True
2026,07037,CP CAAD UNIVERSO DA CRIANCA,352.0713296318437,307.8481379684241,204.10218219802357,537.4717644882102,continuante,Parceira,Creche Parceira,7.0,7.5,FREGUESIA / JACAREPAGUÁ,-22.92011,-43.36048,294.0,parceira,matriculas_2025_proxy,True,58.071329631843696,-89.89781780197643,243.47176448821017,13.848137968424112,True
2026,09042,CP CRECHE PEQUENA CANAA,350.27573268192384,271.8395007480382,209.59698437915625,526.252380744928,continuante,Parceira,Creche Parceira,9.0,9.18,CAMPO GRANDE,-22.89855,-43.56794,40.0,parceira,matriculas_2025_proxy,True,310.27573268192384,169.59698437915625,486.252380744928,231.83950074803818,True
2026,07014,CP CENTRO INTEGRADO SAO JOSE,345.9389468148901,311.7650335926294,203.34216436313545,524.60229335738,continuante,Parceira,Creche Parceira,7.0,7.16,CIDADE DE DEUS / JACAREPAGUÁ,-22.94726,-43.36008,115.0,parceira,matriculas_2025_proxy,True,230.93894681489007,88.34216436313545,409.60229335737995,196.76503359262938,True
