ano,unidade,grupamento_norm,model,fold,sample,sample_segment,demanda_prevista,ano_matricula,nome_unidade,matriculas_ano_anterior,rede,capacity_concept,capacity_coverage,planning_gap,gap_positivo
2024,01004,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,21.124441502186645,2023.0,CP CRECHE CANTINHO FELIZ DE SANTA TERESA,25.0,parceira,matriculas_ano_anterior_proxy,True,-3.875558497813355,False
2024,01004,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,10.21468961483036,2023.0,CP CRECHE CANTINHO FELIZ DE SANTA TERESA,25.0,parceira,matriculas_ano_anterior_proxy,True,-14.78531038516964,False
2024,01005,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,31.387864033518547,2023.0,CP CASA MATERNAL CORAÇÃO DE MÃE,20.0,parceira,matriculas_ano_anterior_proxy,True,11.387864033518547,True
2024,01005,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,14.21944327851734,2023.0,CP CASA MATERNAL CORAÇÃO DE MÃE,20.0,parceira,matriculas_ano_anterior_proxy,True,-5.780556721482659,False
2024,01006,BERCARIO,conditional_logit_distance,oos_2024,oos,all,92.59300547248,2023.0,CP CRECHE DO TUIUTI,44.0,parceira,matriculas_ano_anterior_proxy,True,48.59300547248,True
2024,01006,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,41.4336434014841,2023.0,CP CRECHE DO TUIUTI,45.0,parceira,matriculas_ano_anterior_proxy,True,-3.5663565985159025,False
2024,01006,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,19.528839472223748,2023.0,CP CRECHE DO TUIUTI,59.0,parceira,matriculas_ano_anterior_proxy,True,-39.47116052777625,False
2024,01007,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,34.52678927809606,2023.0,CP EDUCANDÁRIO NOSSA SENHORA DE NAZARÉ,15.0,parceira,matriculas_ano_anterior_proxy,True,19.52678927809606,True
2024,01007,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,15.241773686033715,2023.0,CP EDUCANDÁRIO NOSSA SENHORA DE NAZARÉ,14.0,parceira,matriculas_ano_anterior_proxy,True,1.2417736860337154,True
2024,01009,BERCARIO,conditional_logit_distance,oos_2024,oos,all,62.26827003459215,2023.0,CP CRECHE COMUNITÁRIA ANITA WAY,39.0,parceira,matriculas_ano_anterior_proxy,True,23.26827003459215,True
2024,01009,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,29.62713085113989,2023.0,CP CRECHE COMUNITÁRIA ANITA WAY,48.0,parceira,matriculas_ano_anterior_proxy,True,-18.37286914886011,False
2024,01009,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,16.6631663990777,2023.0,CP CRECHE COMUNITÁRIA ANITA WAY,43.0,parceira,matriculas_ano_anterior_proxy,True,-26.3368336009223,False
2024,01010,BERCARIO,conditional_logit_distance,oos_2024,oos,all,94.92364197054177,2023.0,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,112.0,parceira,matriculas_ano_anterior_proxy,True,-17.076358029458234,False
2024,01010,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,42.91239223797766,2023.0,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,107.0,parceira,matriculas_ano_anterior_proxy,True,-64.08760776202234,False
2024,01010,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,20.326957867429453,2023.0,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,78.0,parceira,matriculas_ano_anterior_proxy,True,-57.673042132570544,False
2024,0101601,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,44.42044130820674,2023.0,CM LADEIRA DOS FUNCIONÁRIOS,0.0,publica,matriculas_ano_anterior_proxy,True,44.42044130820674,True
2024,0101601,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,15.706590254607278,2023.0,CM LADEIRA DOS FUNCIONÁRIOS,18.0,publica,matriculas_ano_anterior_proxy,True,-2.2934097453927222,False
2024,0101602,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,42.68110735091034,2023.0,CM VIRGÍNIA LEMOS,31.0,publica,matriculas_ano_anterior_proxy,True,11.681107350910338,True
2024,0101602,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,20.935884594553965,2023.0,CM VIRGÍNIA LEMOS,0.0,publica,matriculas_ano_anterior_proxy,True,20.935884594553965,True
2024,0101603,BERCARIO,conditional_logit_distance,oos_2024,oos,all,65.61465727335313,2023.0,CM SENNINHA,25.0,publica,matriculas_ano_anterior_proxy,True,40.61465727335313,True
2024,0101603,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,31.247168326389613,2023.0,CM SENNINHA,22.0,publica,matriculas_ano_anterior_proxy,True,9.247168326389613,True
2024,0101603,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,14.132504836054297,2023.0,CM SENNINHA,0.0,publica,matriculas_ano_anterior_proxy,True,14.132504836054297,True
2024,0101604,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,34.713660161258794,2023.0,CM SEMPRE VIDA P. CONQUISTA,0.0,publica,matriculas_ano_anterior_proxy,True,34.713660161258794,True
2024,0101604,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,13.806279660255626,2023.0,CM SEMPRE VIDA P. CONQUISTA,40.0,publica,matriculas_ano_anterior_proxy,True,-26.193720339744374,False
2024,0101605,BERCARIO,conditional_logit_distance,oos_2024,oos,all,59.95256229997417,2023.0,CM CLEMENTE FERREIRA,44.0,publica,matriculas_ano_anterior_proxy,True,15.952562299974169,True
2024,0101605,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,28.91868605305137,2023.0,CM CLEMENTE FERREIRA,0.0,publica,matriculas_ano_anterior_proxy,True,28.91868605305137,True
2024,0101605,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,11.591073405064323,2023.0,CM CLEMENTE FERREIRA,41.0,publica,matriculas_ano_anterior_proxy,True,-29.40892659493568,False
2024,0101606,BERCARIO,conditional_logit_distance,oos_2024,oos,all,27.60434864908703,2023.0,CM QUINTA DO CAJU,33.0,publica,matriculas_ano_anterior_proxy,True,-5.395651350912971,False
2024,0101606,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,13.587636813682249,2023.0,CM QUINTA DO CAJU,0.0,publica,matriculas_ano_anterior_proxy,True,13.587636813682249,True
2024,0101606,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,6.409997028552373,2023.0,CM QUINTA DO CAJU,34.0,publica,matriculas_ano_anterior_proxy,True,-27.59000297144763,False
2024,0101607,BERCARIO,conditional_logit_distance,oos_2024,oos,all,58.03799167000513,2023.0,CM TIA DORA,50.0,publica,matriculas_ano_anterior_proxy,True,8.037991670005127,True
2024,0101607,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,27.93483818664883,2023.0,CM TIA DORA,42.0,publica,matriculas_ano_anterior_proxy,True,-14.065161813351171,False
2024,0101607,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,15.480799133439472,2023.0,CM TIA DORA,0.0,publica,matriculas_ano_anterior_proxy,True,15.480799133439472,True
2024,0101801,BERCARIO,conditional_logit_distance,oos_2024,oos,all,72.06531069638713,2023.0,EDI PARQUE DA ALEGRIA,50.0,publica,matriculas_ano_anterior_proxy,True,22.06531069638713,True
2024,0101801,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,34.159156766454664,2023.0,EDI PARQUE DA ALEGRIA,0.0,publica,matriculas_ano_anterior_proxy,True,34.159156766454664,True
2024,0101801,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,16.250525102123852,2023.0,EDI PARQUE DA ALEGRIA,91.0,publica,matriculas_ano_anterior_proxy,True,-74.74947489787615,False
2024,0101802,BERCARIO,conditional_logit_distance,oos_2024,oos,all,64.75830017008641,2023.0,EDI MACHADO DE ASSIS,23.0,publica,matriculas_ano_anterior_proxy,True,41.758300170086414,True
2024,0101802,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,30.49638073482513,2023.0,EDI MACHADO DE ASSIS,48.0,publica,matriculas_ano_anterior_proxy,True,-17.50361926517487,False
2024,0101802,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,17.53533208981815,2023.0,EDI MACHADO DE ASSIS,0.0,publica,matriculas_ano_anterior_proxy,True,17.53533208981815,True
2024,0101803,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,19.75220584189727,2023.0,EDI ANTÔNIO RAPOSO TAVARES,0.0,publica,matriculas_ano_anterior_proxy,True,19.75220584189727,True
2024,0102601,BERCARIO,conditional_logit_distance,oos_2024,oos,all,79.14862771330353,2023.0,CM SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,51.0,publica,matriculas_ano_anterior_proxy,True,28.148627713303526,True
2024,0102601,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,34.00774616193657,2023.0,CM SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,48.0,publica,matriculas_ano_anterior_proxy,True,-13.992253838063426,False
2024,0102602,BERCARIO,conditional_logit_distance,oos_2024,oos,all,61.694117349731634,2023.0,CM ANA MARIA DA CRUZ SILVA,50.0,publica,matriculas_ano_anterior_proxy,True,11.694117349731634,True
2024,0102602,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,28.228622475035618,2023.0,CM ANA MARIA DA CRUZ SILVA,98.0,publica,matriculas_ano_anterior_proxy,True,-69.77137752496438,False
2024,0102602,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,13.38741419871926,2023.0,CM ANA MARIA DA CRUZ SILVA,0.0,publica,matriculas_ano_anterior_proxy,True,13.38741419871926,True
2024,0102604,BERCARIO,conditional_logit_distance,oos_2024,oos,all,65.98971296266288,2023.0,CM ARCO-ÍRIS,22.0,publica,matriculas_ano_anterior_proxy,True,43.98971296266288,True
2024,0102604,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,30.345121594131296,2023.0,CM ARCO-ÍRIS,47.0,publica,matriculas_ano_anterior_proxy,True,-16.654878405868704,False
2024,0102604,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,14.692968973527046,2023.0,CM ARCO-ÍRIS,0.0,publica,matriculas_ano_anterior_proxy,True,14.692968973527046,True
2024,0102605,BERCARIO,conditional_logit_distance,oos_2024,oos,all,57.04350166282958,2023.0,CM ALDEIA DOS CURUMINS,25.0,publica,matriculas_ano_anterior_proxy,True,32.04350166282958,True
2024,0102605,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,24.86851076895972,2023.0,CM ALDEIA DOS CURUMINS,45.0,publica,matriculas_ano_anterior_proxy,True,-20.13148923104028,False
2024,0102605,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,12.16809658389222,2023.0,CM ALDEIA DOS CURUMINS,0.0,publica,matriculas_ano_anterior_proxy,True,12.16809658389222,True
2024,0102606,BERCARIO,conditional_logit_distance,oos_2024,oos,all,58.86793503099074,2023.0,CM GEORGE SAVALLA GOMES - PALHAÇO CAREQUINHA,43.0,publica,matriculas_ano_anterior_proxy,True,15.867935030990743,True
2024,0102606,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,27.750393923417185,2023.0,CM GEORGE SAVALLA GOMES - PALHAÇO CAREQUINHA,45.0,publica,matriculas_ano_anterior_proxy,True,-17.249606076582815,False
2024,0102802,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,49.9279126355629,2023.0,EDI CAMPOS SALLES,0.0,publica,matriculas_ano_anterior_proxy,True,49.9279126355629,True
2024,0102803,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,13.463800694723728,2023.0,EDI RACHEL DE QUEIROZ,0.0,publica,matriculas_ano_anterior_proxy,True,13.463800694723728,True
2024,0103601,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,32.792169346793,2023.0,CM ESPAÇO LIVRE DA CRIANÇA,24.0,publica,matriculas_ano_anterior_proxy,True,8.792169346793003,True
2024,0103601,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,14.22212082771641,2023.0,CM ESPAÇO LIVRE DA CRIANÇA,0.0,publica,matriculas_ano_anterior_proxy,True,14.22212082771641,True
2024,0103602,BERCARIO,conditional_logit_distance,oos_2024,oos,all,49.92335240336119,2023.0,CM DIREITOS HUMANOS,25.0,publica,matriculas_ano_anterior_proxy,True,24.923352403361193,True
2024,0103602,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,20.5055243109311,2023.0,CM DIREITOS HUMANOS,25.0,publica,matriculas_ano_anterior_proxy,True,-4.494475689068899,False
2024,0103602,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,9.397873565155695,2023.0,CM DIREITOS HUMANOS,0.0,publica,matriculas_ano_anterior_proxy,True,9.397873565155695,True
2024,0103604,BERCARIO,conditional_logit_distance,oos_2024,oos,all,65.16729391846744,2023.0,CM SONHO INFANTIL,25.0,publica,matriculas_ano_anterior_proxy,True,40.167293918467436,True
2024,0103604,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,27.74689871572904,2023.0,CM SONHO INFANTIL,23.0,publica,matriculas_ano_anterior_proxy,True,4.7468987157290385,True
2024,0103604,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,12.54044754316872,2023.0,CM SONHO INFANTIL,0.0,publica,matriculas_ano_anterior_proxy,True,12.54044754316872,True
2024,0103605,BERCARIO,conditional_logit_distance,oos_2024,oos,all,70.31639438476505,2023.0,CM BRINCADEIRAS DE CRIANÇA,25.0,publica,matriculas_ano_anterior_proxy,True,45.31639438476505,True
2024,0103605,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,29.734995807738606,2023.0,CM BRINCADEIRAS DE CRIANÇA,50.0,publica,matriculas_ano_anterior_proxy,True,-20.265004192261394,False
2024,0103605,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,13.26910102744568,2023.0,CM BRINCADEIRAS DE CRIANÇA,0.0,publica,matriculas_ano_anterior_proxy,True,13.26910102744568,True
2024,0103606,BERCARIO,conditional_logit_distance,oos_2024,oos,all,72.52234249483179,2023.0,CM CAMPOS DA PAZ,26.0,publica,matriculas_ano_anterior_proxy,True,46.52234249483179,True
2024,0103606,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,30.99423886602889,2023.0,CM CAMPOS DA PAZ,42.0,publica,matriculas_ano_anterior_proxy,True,-11.00576113397111,False
2024,0103606,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,13.825298500682992,2023.0,CM CAMPOS DA PAZ,0.0,publica,matriculas_ano_anterior_proxy,True,13.825298500682992,True
2024,0103607,BERCARIO,conditional_logit_distance,oos_2024,oos,all,61.76550258977067,2023.0,CM ESTÁCIO DE SÁ,48.0,publica,matriculas_ano_anterior_proxy,True,13.76550258977067,True
2024,0103607,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,27.510169955725328,2023.0,CM ESTÁCIO DE SÁ,21.0,publica,matriculas_ano_anterior_proxy,True,6.510169955725328,True
2024,0103607,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,12.509794081006198,2023.0,CM ESTÁCIO DE SÁ,23.0,publica,matriculas_ano_anterior_proxy,True,-10.490205918993802,False
2024,0103801,BERCARIO,conditional_logit_distance,oos_2024,oos,all,68.34168578613512,2023.0,EDI PROFESSORA SIMONE SOUSA PIMENTEL,24.0,publica,matriculas_ano_anterior_proxy,True,44.341685786135116,True
2024,0103801,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,29.052120979335424,2023.0,EDI PROFESSORA SIMONE SOUSA PIMENTEL,25.0,publica,matriculas_ano_anterior_proxy,True,4.052120979335424,True
2024,0103801,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,13.08884001752106,2023.0,EDI PROFESSORA SIMONE SOUSA PIMENTEL,0.0,publica,matriculas_ano_anterior_proxy,True,13.08884001752106,True
2024,0103802,BERCARIO,conditional_logit_distance,oos_2024,oos,all,63.65763251912323,2023.0,EDI LILY MARINHO,48.0,publica,matriculas_ano_anterior_proxy,True,15.657632519123233,True
2024,0103802,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,26.95012626503282,2023.0,EDI LILY MARINHO,0.0,publica,matriculas_ano_anterior_proxy,True,26.95012626503282,True
2024,0103802,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,12.366424397004208,2023.0,EDI LILY MARINHO,36.0,publica,matriculas_ano_anterior_proxy,True,-23.63357560299579,False
2024,0103804,BERCARIO,conditional_logit_distance,oos_2024,oos,all,57.786275462782086,2023.0,EDI ZÉLIA GATTAI AMADO,19.0,publica,matriculas_ano_anterior_proxy,True,38.786275462782086,True
2024,0103804,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,23.99992020237453,2023.0,EDI ZÉLIA GATTAI AMADO,25.0,publica,matriculas_ano_anterior_proxy,True,-1.000079797625471,False
2024,0103804,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,10.972700457836703,2023.0,EDI ZÉLIA GATTAI AMADO,0.0,publica,matriculas_ano_anterior_proxy,True,10.972700457836703,True
2024,0103805,BERCARIO,conditional_logit_distance,oos_2024,oos,all,77.37985992544874,2023.0,EDI BEATRIZ VICÊNCIA BANDEIRA RYFF,12.0,publica,matriculas_ano_anterior_proxy,True,65.37985992544874,True
2024,0103805,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,33.58483152035573,2023.0,EDI BEATRIZ VICÊNCIA BANDEIRA RYFF,23.0,publica,matriculas_ano_anterior_proxy,True,10.584831520355728,True
2024,0103805,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,14.811969850608952,2023.0,EDI BEATRIZ VICÊNCIA BANDEIRA RYFF,0.0,publica,matriculas_ano_anterior_proxy,True,14.811969850608952,True
2024,0103806,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,14.387306779994155,2023.0,EDI FUNDAÇÃO LEÃO XIII,0.0,publica,matriculas_ano_anterior_proxy,True,14.387306779994155,True
2024,0103807,BERCARIO,conditional_logit_distance,oos_2024,oos,all,74.10038497162935,2023.0,EDI MARIA LUIZA NOBRE - TIA LUIZINHA,47.0,publica,matriculas_ano_anterior_proxy,True,27.100384971629353,True
2024,0103807,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,30.408985095701627,2023.0,EDI MARIA LUIZA NOBRE - TIA LUIZINHA,65.0,publica,matriculas_ano_anterior_proxy,True,-34.591014904298376,False
2024,0103807,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,13.568080385146276,2023.0,EDI MARIA LUIZA NOBRE - TIA LUIZINHA,0.0,publica,matriculas_ano_anterior_proxy,True,13.568080385146276,True
2024,0107601,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,27.29781701974614,2023.0,CM ADALBERTO ISMAEL DE SOUZA,34.0,publica,matriculas_ano_anterior_proxy,True,-6.702182980253859,False
2024,0107601,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,12.89827873932864,2023.0,CM ADALBERTO ISMAEL DE SOUZA,0.0,publica,matriculas_ano_anterior_proxy,True,12.89827873932864,True
2024,0107602,BERCARIO,conditional_logit_distance,oos_2024,oos,all,94.62772323486584,2023.0,CM DEPUTADO LUIZ EDUARDO DE MAGALHÃES,44.0,publica,matriculas_ano_anterior_proxy,True,50.62772323486584,True
2024,0107602,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,42.41686679727635,2023.0,CM DEPUTADO LUIZ EDUARDO DE MAGALHÃES,43.0,publica,matriculas_ano_anterior_proxy,True,-0.5831332027236513,False
2024,0107602,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,19.660972453560092,2023.0,CM DEPUTADO LUIZ EDUARDO DE MAGALHÃES,0.0,publica,matriculas_ano_anterior_proxy,True,19.660972453560092,True
