ano,unidade,grupamento_norm,ano_matricula,nome_unidade,matriculas_ano_anterior,rede,capacity_concept
2024,0102503,MATERNAL II,2023,CIEP AVENIDA DOS DESFILES II,0,publica,matriculas_ano_anterior_proxy
2024,0102504,BERCARIO,2023,CIEP AVENIDA DOS DESFILES,0,publica,matriculas_ano_anterior_proxy
2024,0102504,MATERNAL I,2023,CIEP AVENIDA DOS DESFILES,0,publica,matriculas_ano_anterior_proxy
2024,0102504,MATERNAL II,2023,CIEP AVENIDA DOS DESFILES,0,publica,matriculas_ano_anterior_proxy
2024,0102505,BERCARIO,2023,CIEP JOSÉ PEDRO VARELA,0,publica,matriculas_ano_anterior_proxy
2024,0102505,MATERNAL I,2023,CIEP JOSÉ PEDRO VARELA,0,publica,matriculas_ano_anterior_proxy
2024,0102505,MATERNAL II,2023,CIEP JOSÉ PEDRO VARELA,0,publica,matriculas_ano_anterior_proxy
2024,0102601,BERCARIO,2023,CM SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,51,publica,matriculas_ano_anterior_proxy
2024,0102601,MATERNAL I,2023,CM SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,48,publica,matriculas_ano_anterior_proxy
2024,0102601,MATERNAL II,2023,CM SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,0,publica,matriculas_ano_anterior_proxy
2024,0102602,BERCARIO,2023,CM ANA MARIA DA CRUZ SILVA,50,publica,matriculas_ano_anterior_proxy
2024,0102602,MATERNAL I,2023,CM ANA MARIA DA CRUZ SILVA,98,publica,matriculas_ano_anterior_proxy
2024,0102602,MATERNAL II,2023,CM ANA MARIA DA CRUZ SILVA,0,publica,matriculas_ano_anterior_proxy
2024,0102604,BERCARIO,2023,CM ARCO-ÍRIS,22,publica,matriculas_ano_anterior_proxy
2024,0102604,MATERNAL I,2023,CM ARCO-ÍRIS,47,publica,matriculas_ano_anterior_proxy
2024,0102604,MATERNAL II,2023,CM ARCO-ÍRIS,0,publica,matriculas_ano_anterior_proxy
2024,0102605,BERCARIO,2023,CM ALDEIA DOS CURUMINS,25,publica,matriculas_ano_anterior_proxy
2024,0102605,MATERNAL I,2023,CM ALDEIA DOS CURUMINS,45,publica,matriculas_ano_anterior_proxy
2024,0102605,MATERNAL II,2023,CM ALDEIA DOS CURUMINS,0,publica,matriculas_ano_anterior_proxy
2024,0102606,BERCARIO,2023,CM GEORGE SAVALLA GOMES - PALHAÇO CAREQUINHA,43,publica,matriculas_ano_anterior_proxy
