ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii
2021,CAVALCANTE,Maternal I,45,225.0,0,0,0,0
2021,CAVALCANTE,Maternal II,38,213.0,0,0,0,0
2021,CENTRO,Bercario,120,596.0,0,0,0,0
2021,CENTRO,Maternal I,92,295.0,0,0,0,0
2021,CENTRO,Maternal II,88,361.0,0,0,0,0
2021,CIDADE DEUS,Bercario,361,1482.0,0,0,0,0
2021,CIDADE DEUS,Maternal I,329,833.0,0,0,0,0
2021,CIDADE DEUS,Maternal II,185,847.0,0,0,0,0
2021,CIDADE NOVA,Bercario,27,126.0,0,0,0,0
2021,CIDADE NOVA,Maternal I,25,66.0,0,0,0,0
2021,CIDADE NOVA,Maternal II,16,74.0,0,0,0,0
2021,CIDADE UNIVERSITARIA,Bercario,4,36.0,0,0,0,0
2021,CIDADE UNIVERSITARIA,Maternal I,1,23.0,0,0,0,0
2021,CIDADE UNIVERSITARIA,Maternal II,0,23.0,0,0,0,0
2021,COCOTA,Bercario,17,150.0,0,0,0,0
2021,COCOTA,Maternal I,13,66.0,0,0,0,0
2021,COCOTA,Maternal II,6,72.0,0,0,0,0
2021,COELHO NETO,Bercario,165,697.0,0,0,0,0
2021,COELHO NETO,Maternal I,164,408.0,0,0,0,0
2021,COELHO NETO,Maternal II,118,360.0,0,0,0,0
2021,COLEGIO,Bercario,114,697.0,0,0,0,0
2021,COLEGIO,Maternal I,95,432.0,0,0,0,0
2021,COLEGIO,Maternal II,174,435.0,0,0,0,0
2021,COMPLEXO ALEMAO,Bercario,0,578.0,0,0,0,0
2021,COMPLEXO ALEMAO,Maternal I,0,509.0,0,0,0,0
2021,COMPLEXO ALEMAO,Maternal II,1,825.0,0,0,0,0
2021,COMPLEXO MARE,Bercario,387,2444.0,0,0,0,0
2021,COMPLEXO MARE,Maternal I,270,1754.0,0,0,0,0
2021,COMPLEXO MARE,Maternal II,222,1830.0,0,0,0,0
2021,COPACABANA,Bercario,160,1931.0,0,0,0,0
2021,COPACABANA,Maternal I,86,1035.0,0,0,0,0
2021,COPACABANA,Maternal II,69,1095.0,0,0,0,0
2021,CORDOVIL,Bercario,108,848.0,0,0,0,0
2021,CORDOVIL,Maternal I,78,512.0,0,0,0,0
2021,CORDOVIL,Maternal II,106,548.0,0,0,0,0
2021,COSME VELHO,Bercario,42,159.0,0,0,0,0
2021,COSME VELHO,Maternal I,6,84.0,0,0,0,0
2021,COSME VELHO,Maternal II,5,107.0,0,0,0,0
2021,COSMOS,Bercario,463,2264.0,0,0,0,0
2021,COSMOS,Maternal I,440,1152.0,0,0,0,0
2021,COSMOS,Maternal II,292,1259.0,0,0,0,0
2021,COSTA BARROS,Bercario,383,1202.0,0,0,0,0
2021,COSTA BARROS,Maternal I,190,678.0,0,0,0,0
2021,COSTA BARROS,Maternal II,166,614.0,0,0,0,0
2021,CURICICA,Bercario,267,1581.0,0,0,0,0
2021,CURICICA,Maternal I,221,863.0,0,0,0,0
2021,CURICICA,Maternal II,208,893.0,0,0,0,0
2021,DEL CASTILHO,Bercario,88,544.0,0,0,0,0
2021,DEL CASTILHO,Maternal I,46,327.0,0,0,0,0
2021,DEL CASTILHO,Maternal II,48,282.0,0,0,0,0
2021,DEODORO,Bercario,76,271.0,0,0,0,0
2021,DEODORO,Maternal I,80,125.0,0,0,0,0
2021,DEODORO,Maternal II,61,173.0,0,0,0,0
2021,ENCANTADO,Bercario,11,217.0,0,0,0,0
2021,ENCANTADO,Maternal I,22,153.0,0,0,0,0
2021,ENCANTADO,Maternal II,18,133.0,0,0,0,0
2021,ENGENHEIRO LEAL,Bercario,13,146.0,0,0,0,0
2021,ENGENHEIRO LEAL,Maternal I,13,61.0,0,0,0,0
2021,ENGENHEIRO LEAL,Maternal II,31,65.0,0,0,0,0
2021,ENGENHO DENTRO,Bercario,95,1009.0,0,0,0,0
2021,ENGENHO DENTRO,Maternal I,100,556.0,0,0,0,0
2021,ENGENHO DENTRO,Maternal II,102,599.0,0,0,0,0
2021,ENGENHO NOVO,Bercario,209,974.0,0,0,0,0
2021,ENGENHO NOVO,Maternal I,94,535.0,0,0,0,0
2021,ENGENHO NOVO,Maternal II,37,554.0,0,0,0,0
2021,ENGENHO RAINHA,Bercario,89,551.0,0,0,0,0
2021,ENGENHO RAINHA,Maternal I,58,308.0,0,0,0,0
2021,ENGENHO RAINHA,Maternal II,43,338.0,0,0,0,0
2021,ESTACIO,Bercario,142,439.0,0,0,0,0
2021,ESTACIO,Maternal I,81,287.0,0,0,0,0
2021,ESTACIO,Maternal II,58,275.0,0,0,0,0
2021,FLAMENGO,Bercario,36,645.0,0,0,0,0
2021,FLAMENGO,Maternal I,18,351.0,0,0,0,0
2021,FLAMENGO,Maternal II,14,349.0,0,0,0,0
2021,FREGUESIA ILHA,Bercario,58,382.0,0,0,0,0
2021,FREGUESIA ILHA,Maternal I,40,262.0,0,0,0,0
2021,FREGUESIA ILHA,Maternal II,39,247.0,0,0,0,0
2021,FREGUESIA JPA,Bercario,131,1438.0,0,0,0,0
2021,FREGUESIA JPA,Maternal I,85,824.0,0,0,0,0
2021,FREGUESIA JPA,Maternal II,63,795.0,0,0,0,0
2021,GALEAO,Bercario,118,682.0,0,0,0,0
2021,GALEAO,Maternal I,100,271.0,0,0,0,0
2021,GALEAO,Maternal II,101,331.0,0,0,0,0
2021,GAMBOA,Bercario,64,308.0,0,0,0,0
2021,GAMBOA,Maternal I,36,161.0,0,0,0,0
2021,GAMBOA,Maternal II,41,166.0,0,0,0,0
2021,GARDENIA AZUL,Bercario,248,1115.0,0,0,0,0
2021,GARDENIA AZUL,Maternal I,233,608.0,0,0,0,0
2021,GARDENIA AZUL,Maternal II,171,591.0,0,0,0,0
2021,GAVEA,Bercario,137,334.0,0,0,0,0
2021,GAVEA,Maternal I,52,229.0,0,0,0,0
2021,GAVEA,Maternal II,43,145.0,0,0,0,0
2021,GERICINO,Bercario,0,4.0,0,0,0,0
2021,GERICINO,Maternal I,0,1.0,0,0,0,0
2021,GERICINO,Maternal II,0,16.0,0,0,0,0
2021,GLORIA,Bercario,34,219.0,0,0,0,0
2021,GLORIA,Maternal I,30,64.0,0,0,0,0
2021,GLORIA,Maternal II,15,86.0,0,0,0,0
2021,GRAJAU,Bercario,72,565.0,0,0,0,0
2021,GRAJAU,Maternal I,40,329.0,0,0,0,0
2021,GRAJAU,Maternal II,24,342.0,0,0,0,0
2021,GRUMARI,Bercario,0,8.0,0,0,0,0
2021,GRUMARI,Maternal I,0,3.0,0,0,0,0
2021,GRUMARI,Maternal II,0,2.0,0,0,0,0
2021,GUADALUPE,Bercario,105,1121.0,0,0,0,0
2021,GUADALUPE,Maternal I,173,650.0,0,0,0,0
2021,GUADALUPE,Maternal II,121,618.0,0,0,0,0
2021,GUARATIBA,Bercario,760,3785.0,0,0,0,0
2021,GUARATIBA,Maternal I,691,2084.0,0,0,0,0
2021,GUARATIBA,Maternal II,705,2201.0,0,0,0,0
2021,HIGIENOPOLIS,Bercario,18,253.0,0,0,0,0
2021,HIGIENOPOLIS,Maternal I,27,144.0,0,0,0,0
2021,HIGIENOPOLIS,Maternal II,15,142.0,0,0,0,0
2021,HONORIO GURGEL,Bercario,67,536.0,0,0,0,0
2021,HONORIO GURGEL,Maternal I,77,347.0,0,0,0,0
2021,HONORIO GURGEL,Maternal II,98,345.0,0,0,0,0
2021,HUMAITA,Bercario,3,223.0,0,0,0,0
2021,HUMAITA,Maternal I,4,116.0,0,0,0,0
2021,HUMAITA,Maternal II,7,115.0,0,0,0,0
