ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii,ano_caged_lag1,caged_taxa_lag1,caged_estoque_dez_lag1,previsto,taxa_anterior,prev_persistencia,modelo
2026,ABOLICAO,Bercario,0,125.0,5,5,0,0,2025,0.019417862207853187,2125526,23.56304498597034,0.1232876712328767,15.410958904109588,PPML-FE base replicado
2026,ABOLICAO,Maternal I,0,76.0,5,0,5,0,2025,0.019417862207853187,2125526,21.551994330029554,0.5,38.0,PPML-FE base replicado
2026,ABOLICAO,Maternal II,0,78.0,5,0,0,5,2025,0.019417862207853187,2125526,10.740572868175787,0.14130434782608695,11.021739130434781,PPML-FE base replicado
2026,ACARI,Bercario,0,735.0,5,5,0,0,2025,0.019417862207853187,2125526,272.3398838121177,0.2607052896725441,191.6183879093199,PPML-FE base replicado
2026,ACARI,Maternal I,0,415.0,5,0,5,0,2025,0.019417862207853187,2125526,231.32601580419026,0.5872235872235873,243.6977886977887,PPML-FE base replicado
2026,ACARI,Maternal II,0,407.0,5,0,0,5,2025,0.019417862207853187,2125526,110.16147995566625,0.1984924623115578,80.78643216080403,PPML-FE base replicado
2026,AGUA SANTA,Bercario,0,115.0,5,5,0,0,2025,0.019417862207853187,2125526,24.048967255835855,0.09090909090909091,10.454545454545455,PPML-FE base replicado
2026,AGUA SANTA,Maternal I,0,54.0,5,0,5,0,2025,0.019417862207853187,2125526,16.98810055424615,0.2753623188405797,14.869565217391305,PPML-FE base replicado
2026,AGUA SANTA,Maternal II,0,69.0,5,0,0,5,2025,0.019417862207853187,2125526,10.540449338616098,0.1,6.9,PPML-FE base replicado
2026,ALTO BOA VISTA,Bercario,0,124.0,5,5,0,0,2025,0.019417862207853187,2125526,33.31671927122881,0.2792207792207792,34.62337662337662,PPML-FE base replicado
2026,ALTO BOA VISTA,Maternal I,0,99.0,5,0,5,0,2025,0.019417862207853187,2125526,40.01549663708208,0.45714285714285713,45.25714285714285,PPML-FE base replicado
2026,ALTO BOA VISTA,Maternal II,0,70.0,5,0,0,5,2025,0.019417862207853187,2125526,13.738838805918617,0.08823529411764706,6.176470588235294,PPML-FE base replicado
2026,ANCHIETA,Bercario,0,1148.0,5,5,0,0,2025,0.019417862207853187,2125526,321.5236502656495,0.2139261744966443,245.58724832214767,PPML-FE base replicado
2026,ANCHIETA,Maternal I,0,641.0,5,0,5,0,2025,0.019417862207853187,2125526,270.07322948840545,0.46112600536193027,295.5817694369973,PPML-FE base replicado
2026,ANCHIETA,Maternal II,0,746.0,5,0,0,5,2025,0.019417862207853187,2125526,152.62346425771278,0.260806916426513,194.56195965417868,PPML-FE base replicado
2026,ANDARAI,Bercario,0,438.0,5,5,0,0,2025,0.019417862207853187,2125526,82.14844306109794,0.19389978213507625,84.9281045751634,PPML-FE base replicado
2026,ANDARAI,Maternal I,0,237.0,5,0,5,0,2025,0.019417862207853187,2125526,66.86918725944182,0.19330855018587362,45.814126394052046,PPML-FE base replicado
2026,ANDARAI,Maternal II,0,269.0,5,0,0,5,2025,0.019417862207853187,2125526,36.85436647279861,0.08368200836820083,22.510460251046023,PPML-FE base replicado
