modelo,observado_total,previsto_total,erro_abs_total,vies_total,wape_pooled,vies_relativo_pooled
PPML-FE + Caged comum,132730.0,108218.28308150198,55162.93568727697,-24511.71691849802,0.4156026195078503,-0.18467352458749356
PPML-FE + Caged x grupo,132730.0,108515.14173203657,55058.78904411738,-24214.858267963424,0.41481796914124447,-0.18243696427306128
PPML-FE Caged x grupo sem tendencia,132730.0,98040.70742055176,41578.50482078605,-34689.29257944823,0.31325627078118023,-0.2613523135647422
PPML-FE base replicado,132730.0,107767.25872689596,43902.29565145196,-24962.741273104042,0.3307639241426351,-0.18807158346345243
Persistencia taxa t-1,132730.0,109959.4145372928,38074.74272187962,-22770.5854627072,0.28685860560445736,-0.17155568042422362
