ano_teste,modelo,n_celulas,observado_total,previsto_total,erro_total,mae,rmse,wape,vies_relativo,cobertura_80,cobertura_95
2024,PPML-FE ridge,488,70828.0,42652.99417314073,-28175.00582685927,59.510970737609824,121.29624754588403,0.4100264545088608,-0.39779473974782953,0.28688524590163933,0.4385245901639344
2024,Persistencia taxa t-1,488,70828.0,43286.281830787775,-27541.71816921222,57.75888909787562,122.9644951203742,0.39795473371778534,-0.388853534890329,,
2025,PPML-FE ridge,489,61902.0,65114.26455375522,3212.264553755226,30.39047429754268,61.61584051600777,0.2400720805708761,0.051892742621486,0.6952965235173824,0.8629856850715747
2025,Persistencia taxa t-1,489,61902.0,66673.13270650503,4771.132706505022,20.221686793693916,37.012908072299815,0.15974289751730678,0.07707558247722242,,
