modelo,previsao_2026,persistencia_2026
PPML-FE + Caged comum,73561.46652903626,59717.62982028024
PPML-FE + Caged x grupo,73749.14261269911,59717.62982028024
PPML-FE Caged x grupo sem tendencia,49745.313002291245,59717.62982028024
PPML-FE base replicado,66800.91415408079,59717.62982028024
