ano,codigo_unidade,demanda_observada,nome_unidade,ano_alvo,ano_caged,mes_corte,admissoes_fem_jan_corte,desligamentos_fem_jan_corte,saldo_fem_jan_corte,estoque_formal_total_inicio,cag_fem_taxa,cag_fem_z,media_treino,desvio_treino
2021,101601,179,CM LADEIRA DOS FUNCIONÁRIOS,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,101602,77,CM VIRGÍNIA LEMOS,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,101603,325,CM SENNINHA,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,101604,65,CM SEMPRE VIDA P. CONQUISTA,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,101605,292,CM CLEMENTE FERREIRA,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,101606,241,CM QUINTA DO CAJU,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,101607,325,CM TIA DORA,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,101801,413,EDI PARQUE DA ALEGRIA,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,101802,193,EDI MACHADO DE ASSIS,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,101803,84,EDI ANTÔNIO RAPOSO TAVARES,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019601,97,CM SEMPRE VIDA VALE DO SOL,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019602,294,CM SEMPRE VIDA ANTARES,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019603,205,CM JARDIM DOS VIEIRAS,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019604,116,CM AYRTON SENNA,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019605,91,CM MARLENE DA SILVA CARDOSO,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019606,168,CM TRINTA E UM DE OUTUBRO,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019607,259,CM ADALTO BASTOS,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019609,163,CM CANTINHO DA TIA DOLORES,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019610,218,CM CHAVE DO TAMANHO,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019611,89,CM CRIANÇA FELIZ,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019612,520,CM DANIELA PEREZ,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019613,148,CM DJANIRA MARIA RAMOS,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019614,276,CM INSPETOR HERALDO CARVALHO DE SOUSA,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019615,84,CM MARCOLINA,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019616,83,CM MARIA HELENA PAPERA MONTEIRO,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019618,131,CM LEUZA MARINS NOVAES S. SANTOS,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019619,113,CM SANTA TEREZINHA,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019620,183,CM SEMENTINHA DO AMOR,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
2021,1019621,218,CM SEMPRE VIDA ESTRELA DO ALAGADO,2021,2020,9,152535,206706,-54171,1858047.0,-0.0291548060947866,-1.6883275078476707,0.005083723205515,0.0202795542577814
