codigo_unidade,ano_previsao,demanda_prevista_inscritos,demanda_prevista_efetiva,demanda_efetiva_p025,demanda_efetiva_p975,capacidade_ano_anterior
10041,2026,,600.0311406036278,,,
10052,2026,,533.6061357287658,,,
7040,2026,,469.1529581080231,,,
8016,2026,,463.5082543870224,,,
10051,2026,,443.8992190379689,,,
8009,2026,,400.8124694263529,,,
817807,2026,,390.0057154400801,,,
10072,2026,,381.2978236649009,,,
9035,2026,,362.5317337892392,,,
7041,2026,,359.80053476058896,,,
7037,2026,,352.0713296318437,,,
9042,2026,,350.27573268192384,,,
7014,2026,,345.9389468148901,,,
716821,2026,,339.77736474235377,,,
7013,2026,,334.7262352233565,,,
817619,2026,,331.2207698014489,,,
716819,2026,,319.52005951987906,,,
918807,2026,,314.76847645299466,,,
833601,2026,,310.3082176373899,,,
817808,2026,,305.8432636183354,,,
5010,2026,,296.6482136102836,,,
5014,2026,,290.9087361262291,,,
7044,2026,,277.7556273025587,,,
1120605,2026,,263.99440789010885,,,
918606,2026,,256.1759448464569,,,
4027,2026,,250.80848807616215,,,
9046,2026,,246.43549764421329,,,
817815,2026,,245.46961288714127,,,
10069,2026,,245.13658984400143,,,
1026809,2026,,232.0333209560574,,,
9036,2026,,230.35910796333005,,,
716818,2026,,225.5672301878649,,,
6015,2026,,221.171197462116,,,
724804,2026,,215.4580801917052,,,
7015,2026,,215.02956207029723,,,
3006,2026,,214.0775137963149,,,
514602,2026,,213.86688270964865,,,
7038,2026,,212.41490957681592,,,
8010,2026,,211.62256936700263,,,
7042,2026,,210.3518142330348,,,
6003,2026,,208.62432239789013,,,
1010,2026,,207.40366796374667,,,
7027,2026,,206.79420433428115,,,
918835,2026,,206.48630031400972,,,
7020,2026,,204.93761431275124,,,
6017,2026,,202.96870661110196,,,
4023,2026,,202.00314269579044,,,
9027,2026,,201.9744372803314,,,
716603,2026,,196.06373619223064,,,
625816,2026,,195.55306013543964,,,
107610,2026,,195.1091602866205,,,
3037,2026,,192.9524548842707,,,
4030,2026,,189.65218320063855,,,
716822,2026,,189.41464916479816,,,
6016,2026,,187.1182341948964,,,
625614,2026,,186.93475364938567,,,
5015,2026,,186.4480127725464,,,
9031,2026,,185.6931559322404,,,
8007,2026,,185.65462095362943,,,
430815,2026,,184.2321548019394,,,
9014,2026,,184.04083601717028,,,
4022,2026,,179.19150520393703,,,
734802,2026,,179.08994285099274,,,
205601,2026,,178.78673188788733,,,
4040,2026,,177.78619197043872,,,
716614,2026,,176.98311535108172,,,
2048,2026,,176.91945540786332,,,
625802,2026,,174.16618774250003,,,
716803,2026,,173.82075911747484,,,
716613,2026,,172.32203079999687,,,
5006,2026,,171.07223505243255,,,
9021,2026,,170.51101271357564,,,
9026,2026,,170.44539900573736,,,
10022,2026,,169.6542350506406,,,
6009,2026,,168.0026014174561,,,
1019623,2026,,166.67958149736717,,,
9033,2026,,164.4469865745408,,,
4016,2026,,164.22622866240368,,,
430801,2026,,163.7571375992735,,,
724801,2026,,163.5382109188284,,,
4024,2026,,162.61184927132456,,,
9028,2026,,162.50343363305583,,,
9040,2026,,159.20623075899695,,,
625611,2026,,158.42852062999296,,,
918620,2026,,156.6676512470051,,,
2046,2026,,155.92337178695914,,,
5016,2026,,154.14340879383022,,,
716807,2026,,153.66921156066445,,,
1026807,2026,,153.018850754778,,,
3040,2026,,152.6343515224563,,,
10055,2026,,152.4050737746652,,,
9020,2026,,151.8339313855232,,,
11006,2026,,150.62468974639808,,,
1019612,2026,,150.5825296508383,,,
8015,2026,,150.03565716886368,,,
7018,2026,,148.50987444388156,,,
7039,2026,,148.23658213047827,,,
10019,2026,,147.9577203297705,,,
10027,2026,,147.11303904583076,,,
6002,2026,,144.92314005286403,,,
7004,2026,,144.587598561605,,,
9045,2026,,143.91790360379622,,,
5001,2026,,139.8721825912295,,,
3002,2026,,139.81724141309374,,,
9013,2026,,139.5645130178774,,,
817609,2026,,138.55961330740968,,,
716808,2026,,138.54930642210886,,,
6004,2026,,137.95245097312986,,,
7036,2026,,137.6672952571404,,,
3022,2026,,136.98913466135326,,,
9038,2026,,136.79495245395242,,,
6012,2026,,135.93961302071298,,,
8021,2026,,135.5348758468255,,,
918601,2026,,135.51279563287386,,,
716606,2026,,135.2648595540987,,,
4015,2026,,134.6004827583643,,,
4038,2026,,134.0474419161361,,,
3033,2026,,132.9934422018363,,,
6001,2026,,132.25785341270424,,,
9041,2026,,132.23210979420514,,,
10032,2026,,132.2154166733284,,,
1004,2026,,131.792360827162,,,
1019628,2026,,131.72009475619132,,,
724602,2026,,130.9424456756028,,,
10035,2026,,130.85631605050054,,,
10054,2026,,130.6115335693239,,,
10075,2026,,130.1524157788301,,,
724601,2026,,129.71727872318075,,,
3014,2026,,129.6915529533377,,,
716812,2026,,129.48857810720938,,,
833811,2026,,129.46240969254734,,,
625604,2026,,128.21575234408394,,,
8024,2026,,128.1317210244233,,,
716813,2026,,127.88289462978976,,,
625606,2026,,127.83193183880492,,,
6013,2026,,127.5335362027924,,,
622804,2026,,127.12272620551856,,,
6007,2026,,126.39842147903757,,,
8018,2026,,125.76538413453228,,,
430603,2026,,124.91470699929243,,,
833603,2026,,124.69924352374738,,,
3026,2026,,124.50324785898124,,,
7019,2026,,123.82708624780336,,,
1009,2026,,123.04880791578192,,,
4036,2026,,122.95453749322792,,,
918837,2026,,122.59003547031745,,,
4018,2026,,122.19047927494938,,,
817504,2026,,122.11006606603016,,,
10060,2026,,121.77922564246413,,,
1019606,2026,,121.52005919183745,,,
313611,2026,,121.28482271361568,,,
8011,2026,,121.27489470654044,,,
10056,2026,,120.99462639176689,,,
625820,2026,,120.90672414671342,,,
4041,2026,,120.40708172225916,,,
817804,2026,,119.68046958628628,,,
204602,2026,,119.42232401356532,,,
4003,2026,,119.09405143063648,,,
625612,2026,,118.54350667588444,,,
3024,2026,,118.22710256161758,,,
9008,2026,,117.47192440012708,,,
4021,2026,,117.14135216401804,,,
10043,2026,,116.86634702443584,,,
625804,2026,,116.86101059550305,,,
817605,2026,,116.74479289144716,,,
817801,2026,,116.4334157906381,,,
4042,2026,,116.17394801214016,,,
716820,2026,,115.91028060115698,,,
716605,2026,,115.5051138124904,,,
3025,2026,,115.24366416545855,,,
9017,2026,,114.89109914338304,,,
7035,2026,,114.74313571036336,,,
724603,2026,,114.5898429501471,,,
515602,2026,,114.5784290786244,,,
10026,2026,,114.3907821665348,,,
918619,2026,,114.35764090538878,,,
515801,2026,,114.00503764500512,,,
918831,2026,,113.24530699276065,,,
625803,2026,,112.35781306425493,,,
10065,2026,,112.24746951318735,,,
4006,2026,,111.8195681029245,,,
1019620,2026,,111.41065346843249,,,
515808,2026,,110.53384706870943,,,
716607,2026,,109.36369722679304,,,
410808,2026,,108.95732680884308,,,
3012,2026,,108.55264924044312,,,
5013,2026,,107.94214698546602,,,
8014,2026,,107.789173180415,,,
833602,2026,,107.70133099836522,,,
430602,2026,,107.34166186535715,,,
1006,2026,,107.22073830988928,,,
9025,2026,,107.11012402960526,,,
4025,2026,,106.53212669488116,,,
515809,2026,,106.42766769952829,,,
328602,2026,,105.85671047087617,,,
4017,2026,,105.40025451865438,,,
515810,2026,,105.39454934626715,,,
103801,2026,,105.0235228598338,,,
107604,2026,,104.91762625213978,,,
10073,2026,,104.49809812242232,,,
716608,2026,,103.73000639599964,,,
9032,2026,,103.69667180981293,,,
4048,2026,,103.35176822416967,,,
7034,2026,,103.34382887932706,,,
918833,2026,,103.34084213825987,,,
625607,2026,,103.2925524131811,,,
123603,2026,,103.2210373039696,,,
625814,2026,,102.94847243771363,,,
9022,2026,,102.66743997124442,,,
206602,2026,,102.54900987776765,,,
1019830,2026,,102.26667097641864,,,
11004,2026,,101.83813708364896,,,
411601,2026,,101.69979916606728,,,
918613,2026,,101.6809701239053,,,
4045,2026,,101.4347865748951,,,
10036,2026,,101.27065684628984,,,
3021,2026,,100.9513857403647,,,
716609,2026,,99.98074146587363,,,
10011,2026,,99.64478838857744,,,
8013,2026,,99.52495583969488,,,
1120606,2026,,99.15809097391312,,,
918816,2026,,99.08196116693443,,,
208608,2026,,98.91854602359672,,,
515608,2026,,98.86606269584394,,,
101605,2026,,98.78848518880436,,,
312502,2026,,98.7490669776684,,,
4012,2026,,98.48204540289755,,,
101603,2026,,98.4813935473671,,,
102601,2026,,98.16329381979838,,,
430811,2026,,97.87792683058206,,,
4010,2026,,97.83352589009834,,,
10006,2026,,97.6005089679754,,,
410801,2026,,97.5470109575815,,,
4047,2026,,97.28457269304288,,,
625818,2026,,96.81600708917728,,,
