ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii,prev_modelo,p10,p90,p025,p975,alpha_nb,taxa_2025,prev_persistencia,data_corte,modelo,versao
2026,BANGU,Bercario,0,3901.0,5,5,0,0,1227.5248432740545,880.0,1603.0,734.0,1845.0,0.05293890706359489,0.25098425196850394,979.0895669291339,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BANGU,Maternal I,0,2138.0,5,0,5,0,1012.0792324767444,725.0,1322.0,605.0,1522.0,0.05293890706359489,0.34335635920357577,734.0958959772449,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BANGU,Maternal II,0,2461.0,5,0,0,5,565.6885619740432,404.0,740.0,336.0,853.0,0.05293890706359489,0.20786298170494355,511.5507979758661,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARRA GUARATIBA,Bercario,0,94.0,5,5,0,0,16.460426495900084,10.0,24.0,7.0,29.0,0.05293890706359489,0.17699115044247787,16.63716814159292,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARRA GUARATIBA,Maternal I,0,71.0,5,0,5,0,18.703550273108995,11.0,27.0,8.0,32.0,0.05293890706359489,0.22807017543859648,16.19298245614035,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARRA GUARATIBA,Maternal II,0,57.0,5,0,0,5,7.291208703034008,3.0,12.0,2.0,14.0,0.05293890706359489,0.2112676056338028,12.04225352112676,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARRA OLIMPICA,Bercario,0,1025.0,5,5,0,0,197.52041418746956,139.0,260.0,115.0,301.0,0.05293890706359489,0.13026819923371646,133.52490421455937,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARRA TIJUCA,Bercario,0,2259.0,5,5,0,0,113.76656680209517,79.0,151.0,65.0,175.0,0.05293890706359489,0.01758901758901759,39.73359073359074,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARRA TIJUCA,Maternal I,0,1168.0,5,0,5,0,88.48990658693248,61.0,118.0,50.0,137.0,0.05293890706359489,0.07933884297520662,92.66776859504132,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARRA TIJUCA,Maternal II,0,1210.0,5,0,0,5,44.513857945507816,30.0,61.0,23.0,71.0,0.05293890706359489,0.020066889632107024,24.2809364548495,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARROS FILHO,Bercario,0,361.0,5,5,0,0,103.99413125806272,72.0,138.0,59.0,160.0,0.05293890706359489,0.2446043165467626,88.3021582733813,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARROS FILHO,Maternal I,0,222.0,5,0,5,0,96.20708947854497,67.0,128.0,54.0,149.0,0.05293890706359489,0.3048128342245989,67.66844919786097,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BARROS FILHO,Maternal II,0,187.0,5,0,0,5,39.35090091399465,26.0,54.0,20.0,63.0,0.05293890706359489,0.20089285714285715,37.566964285714285,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BENFICA,Bercario,0,603.0,5,5,0,0,274.6678671367929,195.0,361.0,161.0,416.0,0.05293890706359489,0.3128491620111732,188.64804469273744,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BENFICA,Maternal I,0,408.0,5,0,5,0,279.57811893375356,198.0,367.0,164.0,424.0,0.05293890706359489,0.465625,189.975,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BENFICA,Maternal II,0,320.0,5,0,0,5,106.47605823537633,74.0,142.0,60.0,164.0,0.05293890706359489,0.2647058823529412,84.70588235294117,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BENTO RIBEIRO,Bercario,0,590.0,5,5,0,0,136.06877298286219,95.0,180.0,78.0,209.0,0.05293890706359489,0.16940789473684212,99.95065789473685,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BENTO RIBEIRO,Maternal I,0,319.0,5,0,5,0,110.67502082543012,77.0,147.0,63.0,170.0,0.05293890706359489,0.3787375415282392,120.8172757475083,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BENTO RIBEIRO,Maternal II,0,301.0,5,0,0,5,50.70892411225857,34.0,69.0,27.0,80.0,0.05293890706359489,0.18285714285714286,55.04,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BONSUCESSO,Bercario,0,658.0,5,5,0,0,208.33239742276115,147.0,274.0,122.0,317.0,0.05293890706359489,0.5667655786350149,372.9317507418398,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BONSUCESSO,Maternal I,0,397.0,5,0,5,0,189.09232301102892,133.0,249.0,110.0,288.0,0.05293890706359489,0.3436657681940701,136.43530997304583,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BONSUCESSO,Maternal II,0,742.0,5,0,0,5,171.611452470043,121.0,227.0,99.0,262.0,0.05293890706359489,0.261986301369863,194.39383561643834,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BOTAFOGO,Bercario,0,1069.0,5,5,0,0,100.220305448609,70.0,133.0,57.0,155.0,0.05293890706359489,0.10664172123479888,114.0,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BOTAFOGO,Maternal I,0,528.0,5,0,5,0,74.46709494833708,51.0,100.0,41.0,116.0,0.05293890706359489,0.13932980599647266,73.56613756613756,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BOTAFOGO,Maternal II,0,567.0,5,0,0,5,38.83045858113753,26.0,53.0,20.0,62.0,0.05293890706359489,0.04903677758318739,27.80385288966725,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BRAS PINA,Bercario,0,725.0,5,5,0,0,142.30427689007433,100.0,188.0,82.0,218.0,0.05293890706359489,0.2286096256684492,165.74197860962568,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BRAS PINA,Maternal I,0,390.0,5,0,5,0,115.15877215886063,80.0,153.0,66.0,177.0,0.05293890706359489,0.4580335731414868,178.63309352517985,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,BRAS PINA,Maternal II,0,417.0,5,0,0,5,59.789847402692835,41.0,81.0,32.0,94.0,0.05293890706359489,0.1570796460176991,65.50221238938053,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CACHAMBI,Bercario,0,556.0,5,5,0,0,71.86818786298856,49.0,96.0,40.0,112.0,0.05293890706359489,0.13580246913580246,75.50617283950616,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CACHAMBI,Maternal I,0,294.0,5,0,5,0,57.16914612449071,39.0,77.0,31.0,90.0,0.05293890706359489,0.18627450980392157,54.76470588235294,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CACHAMBI,Maternal II,0,306.0,5,0,0,5,28.893142071728004,18.0,40.0,14.0,47.0,0.05293890706359489,0.05379746835443038,16.462025316455698,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CACUIA,Bercario,0,167.0,5,5,0,0,34.40527568511986,22.0,47.0,17.0,56.0,0.05293890706359489,0.18497109826589594,30.89017341040462,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CACUIA,Maternal I,0,90.0,5,0,5,0,27.89353475480177,18.0,39.0,14.0,46.0,0.05293890706359489,0.2808988764044944,25.280898876404496,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CACUIA,Maternal II,0,89.0,5,0,0,5,13.393991575455313,8.0,20.0,5.0,24.0,0.05293890706359489,0.3373493975903614,30.024096385542165,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAJU,Bercario,0,603.0,5,5,0,0,200.80833843439066,142.0,265.0,117.0,306.0,0.05293890706359489,0.27751196172248804,167.3397129186603,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAJU,Maternal I,0,329.0,5,0,5,0,164.8210972116948,116.0,218.0,95.0,252.0,0.05293890706359489,0.41389728096676737,136.17220543806647,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAJU,Maternal II,0,331.0,5,0,0,5,80.52001888473212,55.0,108.0,45.0,125.0,0.05293890706359489,0.16023738872403562,53.03857566765579,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMORIM,Bercario,0,55.0,5,5,0,0,34.45461001660812,22.0,47.0,17.0,56.0,0.05293890706359489,0.6796116504854369,37.37864077669903,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMORIM,Maternal I,0,80.0,5,0,5,0,75.39232013392039,52.0,101.0,42.0,117.0,0.05293890706359489,0.34959349593495936,27.96747967479675,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMORIM,Maternal II,0,123.0,5,0,0,5,56.286106015716314,38.0,76.0,30.0,89.0,0.05293890706359489,0.25882352941176473,31.835294117647063,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMPINHO,Bercario,0,180.0,5,5,0,0,38.807813347666006,26.0,53.0,20.0,62.0,0.05293890706359489,0.22164948453608246,39.896907216494846,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMPINHO,Maternal I,0,107.0,5,0,5,0,34.70427034746601,23.0,48.0,18.0,56.0,0.05293890706359489,0.47,50.29,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMPINHO,Maternal II,0,100.0,5,0,0,5,15.74918597843401,9.0,23.0,7.0,27.0,0.05293890706359489,0.1504424778761062,15.04424778761062,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMPO AFONSOS,Bercario,0,70.0,5,5,0,0,11.783840528722438,6.0,18.0,4.0,21.0,0.05293890706359489,0.0410958904109589,2.8767123287671232,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMPO AFONSOS,Maternal I,0,41.0,5,0,5,0,10.383054789362232,6.0,16.0,4.0,19.0,0.05293890706359489,0.03225806451612903,1.3225806451612903,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMPO AFONSOS,Maternal II,0,31.0,5,0,0,5,3.8120795438561736,1.0,7.0,0.0,9.0,0.05293890706359489,0.10344827586206896,3.206896551724138,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMPO GRANDE,Bercario,0,6911.0,5,5,0,0,2043.9703096340445,1467.0,2668.0,1225.0,3068.0,0.05293890706359489,0.21254404510218464,1468.891895701198,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMPO GRANDE,Maternal I,0,3685.0,5,0,5,0,1639.5461839357783,1176.0,2141.0,982.0,2462.0,0.05293890706359489,0.3648717948717949,1344.5525641025642,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAMPO GRANDE,Maternal II,0,3900.0,5,0,0,5,842.5772734578572,603.0,1101.0,503.0,1268.0,0.05293890706359489,0.19133574007220217,746.2093862815884,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CASCADURA,Bercario,0,497.0,5,5,0,0,145.48143671954836,102.0,192.0,84.0,223.0,0.05293890706359489,0.20840950639853748,103.57952468007312,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CASCADURA,Maternal I,0,293.0,5,0,5,0,129.02423281397918,90.0,171.0,74.0,198.0,0.05293890706359489,0.3223684210526316,94.45394736842105,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CASCADURA,Maternal II,0,304.0,5,0,0,5,65.00342200440895,44.0,87.0,36.0,102.0,0.05293890706359489,0.22448979591836735,68.24489795918367,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CATETE,Bercario,0,309.0,5,5,0,0,52.322338069701225,35.0,71.0,28.0,83.0,0.05293890706359489,0.15963855421686746,49.32831325301204,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CATETE,Maternal I,0,169.0,5,0,5,0,43.049473091048746,29.0,59.0,23.0,69.0,0.05293890706359489,0.19540229885057472,33.02298850574713,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CATETE,Maternal II,0,174.0,5,0,0,5,21.522333425687336,13.0,30.0,10.0,36.0,0.05293890706359489,0.1375,23.925,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CATUMBI,Bercario,0,270.0,5,5,0,0,107.89005807086936,75.0,143.0,61.0,166.0,0.05293890706359489,0.46037735849056605,124.30188679245283,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CATUMBI,Maternal I,0,127.0,5,0,5,0,76.3438145936063,52.0,102.0,42.0,119.0,0.05293890706359489,0.33783783783783783,42.9054054054054,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CATUMBI,Maternal II,0,148.0,5,0,0,5,43.20070377492429,29.0,59.0,23.0,69.0,0.05293890706359489,0.13259668508287292,19.624309392265193,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAVALCANTE,Bercario,0,286.0,5,5,0,0,90.28316301982514,62.0,120.0,51.0,140.0,0.05293890706359489,0.25675675675675674,73.43243243243244,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAVALCANTE,Maternal I,0,153.0,5,0,5,0,72.65820023858673,50.0,97.0,40.0,113.0,0.05293890706359489,0.4394904458598726,67.24203821656052,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CAVALCANTE,Maternal II,0,157.0,5,0,0,5,36.20360592874766,24.0,50.0,18.0,59.0,0.05293890706359489,0.24539877300613497,38.52760736196319,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CENTRO,Bercario,0,365.0,5,5,0,0,128.61432742182706,90.0,170.0,74.0,197.0,0.05293890706359489,0.328,119.72,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
2026,CENTRO,Maternal I,0,199.0,5,0,5,0,105.48775151232708,73.0,140.0,60.0,163.0,0.05293890706359489,0.4074074074074074,81.07407407407408,2026-08-30,PPML-FE ridge v0.1,0.1-auditoria
