ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii,prev_modelo,p10,p90,p025,p975,alpha_nb,taxa_anterior,prev_persistencia,ano_treino_final,ano_teste
2025,BARRA TIJUCA,Bercario,41,2331.0,4,4,0,0,109.99335443927502,76.0,146.0,62.0,170.0,0.05349348228090407,0.024390243902439025,56.85365853658537,2024,2025
2025,BARRA TIJUCA,Maternal I,96,1210.0,4,0,4,0,87.35007762957214,60.0,117.0,49.0,136.0,0.05349348228090407,0.0802675585284281,97.123745819398,2024,2025
2025,BARRA TIJUCA,Maternal II,24,1196.0,4,0,0,4,45.495911371179865,30.0,62.0,24.0,73.0,0.05349348228090407,0.028478437754271765,34.06021155410903,2024,2025
2025,BARROS FILHO,Bercario,102,417.0,4,4,0,0,112.01019663830822,78.0,149.0,64.0,173.0,0.05349348228090407,0.28117359413202936,117.24938875305624,2024,2025
2025,BARROS FILHO,Maternal I,57,187.0,4,0,4,0,76.84522081637083,53.0,103.0,43.0,120.0,0.05349348228090407,0.2767857142857143,51.75892857142858,2024,2025
2025,BARROS FILHO,Maternal II,45,224.0,4,0,0,4,48.50500339044645,32.0,66.0,26.0,77.0,0.05349348228090407,0.22924901185770752,51.351778656126484,2024,2025
2025,BENFICA,Bercario,224,716.0,4,4,0,0,313.55161608032813,222.0,412.0,184.0,475.0,0.05349348228090407,0.5,358.0,2024,2025
2025,BENFICA,Maternal I,149,320.0,4,0,4,0,214.3876437799017,151.0,283.0,125.0,327.0,0.05349348228090407,0.6256684491978609,200.21390374331548,2024,2025
2025,BENFICA,Maternal II,99,374.0,4,0,0,4,132.03365315811476,92.0,175.0,76.0,203.0,0.05349348228090407,0.36619718309859156,136.95774647887325,2024,2025
2025,BENTO RIBEIRO,Bercario,103,608.0,4,4,0,0,126.5624039894074,88.0,168.0,72.0,195.0,0.05349348228090407,0.16129032258064516,98.06451612903226,2024,2025
2025,BENTO RIBEIRO,Maternal I,114,301.0,4,0,4,0,95.85645935299955,66.0,128.0,54.0,148.0,0.05349348228090407,0.3485714285714286,104.92,2024,2025
2025,BENTO RIBEIRO,Maternal II,64,350.0,4,0,0,4,58.7335426048633,40.0,79.0,32.0,93.0,0.05349348228090407,0.21014492753623187,73.55072463768116,2024,2025
2025,BONSUCESSO,Bercario,382,674.0,4,4,0,0,183.33924981275544,129.0,242.0,106.0,280.0,0.05349348228090407,0.3854258121158911,259.7769973661106,2024,2025
2025,BONSUCESSO,Maternal I,255,742.0,4,0,4,0,308.782877765565,219.0,406.0,181.0,468.0,0.05349348228090407,0.6198630136986302,459.9383561643836,2024,2025
2025,BONSUCESSO,Maternal II,153,584.0,4,0,0,4,128.0635146882593,89.0,170.0,73.0,197.0,0.05349348228090407,0.2600502512562814,151.86934673366832,2024,2025
2025,BOTAFOGO,Bercario,114,1069.0,4,4,0,0,85.87384166130653,59.0,115.0,48.0,133.0,0.05349348228090407,0.10228310502283106,109.3406392694064,2024,2025
2025,BOTAFOGO,Maternal I,79,567.0,4,0,4,0,69.68190214461568,48.0,94.0,38.0,109.0,0.05349348228090407,0.1243432574430823,70.50262697022767,2024,2025
2025,BOTAFOGO,Maternal II,28,571.0,4,0,0,4,36.97739489346564,24.0,51.0,19.0,60.0,0.05349348228090407,0.059931506849315065,34.2208904109589,2024,2025
2025,BRAS PINA,Bercario,171,748.0,4,4,0,0,118.89925259319203,83.0,158.0,68.0,183.0,0.05349348228090407,0.2379182156133829,177.9628252788104,2024,2025
2025,BRAS PINA,Maternal I,191,417.0,4,0,4,0,101.40685956648989,70.0,135.0,57.0,157.0,0.05349348228090407,0.3805309734513274,158.68141592920352,2024,2025
2025,BRAS PINA,Maternal II,71,452.0,4,0,0,4,57.92059009988946,39.0,78.0,31.0,91.0,0.05349348228090407,0.15904139433551198,71.88671023965142,2024,2025
2025,CACHAMBI,Bercario,77,567.0,4,4,0,0,64.59464619237849,44.0,87.0,35.0,101.0,0.05349348228090407,0.16166666666666665,91.66499999999999,2024,2025
2025,CACHAMBI,Maternal I,57,306.0,4,0,4,0,53.3320948782908,36.0,72.0,29.0,84.0,0.05349348228090407,0.2310126582278481,70.68987341772153,2024,2025
2025,CACHAMBI,Maternal II,17,316.0,4,0,0,4,29.021346854376716,19.0,40.0,14.0,48.0,0.05349348228090407,0.1,31.6,2024,2025
2025,CACUIA,Bercario,32,173.0,4,4,0,0,30.640836926789717,20.0,43.0,15.0,50.0,0.05349348228090407,0.17318435754189945,29.960893854748605,2024,2025
2025,CACUIA,Maternal I,25,89.0,4,0,4,0,24.115611492291304,15.0,34.0,11.0,40.0,0.05349348228090407,0.3132530120481928,27.87951807228916,2024,2025
2025,CACUIA,Maternal II,28,83.0,4,0,0,4,11.850853488488607,7.0,18.0,4.0,21.0,0.05349348228090407,0.2336448598130841,19.39252336448598,2024,2025
2025,CAJU,Bercario,174,627.0,4,4,0,0,196.14093746314754,138.0,259.0,114.0,299.0,0.05349348228090407,0.26666666666666666,167.2,2024,2025
2025,CAJU,Maternal I,137,331.0,4,0,4,0,158.40994796575742,111.0,210.0,91.0,242.0,0.05349348228090407,0.4362017804154303,144.38278931750742,2024,2025
2025,CAJU,Maternal II,54,337.0,4,0,0,4,84.98604579746967,58.0,114.0,47.0,132.0,0.05349348228090407,0.10662824207492795,35.93371757925072,2024,2025
2025,CAMORIM,Bercario,70,103.0,4,4,0,0,64.42554769413259,44.0,87.0,35.0,101.0,0.05349348228090407,0.5960591133004927,61.39408866995075,2024,2025
2025,CAMORIM,Maternal I,43,123.0,4,0,4,0,117.70089294740903,82.0,156.0,67.0,181.0,0.05349348228090407,0.9411764705882353,115.76470588235294,2024,2025
2025,CAMORIM,Maternal II,22,85.0,4,0,0,4,42.86046086217141,28.0,59.0,22.0,69.0,0.05349348228090407,0.651685393258427,55.3932584269663,2024,2025
2025,CAMPINHO,Bercario,43,194.0,4,4,0,0,35.98674858132298,23.0,50.0,18.0,58.0,0.05349348228090407,0.21739130434782608,42.17391304347826,2024,2025
2025,CAMPINHO,Maternal I,47,100.0,4,0,4,0,28.37883947716539,18.0,40.0,14.0,47.0,0.05349348228090407,0.23893805309734514,23.893805309734514,2024,2025
2025,CAMPINHO,Maternal II,17,113.0,4,0,0,4,16.898040223016427,10.0,24.0,7.0,29.0,0.05349348228090407,0.25,28.25,2024,2025
2025,CAMPO AFONSOS,Bercario,3,73.0,4,4,0,0,11.608552551795759,6.0,17.0,4.0,21.0,0.05349348228090407,0.041666666666666664,3.0416666666666665,2024,2025
2025,CAMPO AFONSOS,Maternal I,1,31.0,4,0,4,0,7.54172438914055,4.0,12.0,2.0,15.0,0.05349348228090407,0.1724137931034483,5.344827586206897,2024,2025
