ano_teste,modelo,n_celulas,observado_total,previsto_total,erro_total,mae,rmse,wape,vies_relativo,cobertura_80,cobertura_95
2025,PPML-FE ridge,489,61902.0,65114.26455375522,3212.264553755226,30.39047429754268,61.61584051600777,0.2400720805708761,0.051892742621486,0.6952965235173824,0.8629856850715747
2025,Persistencia taxa t-1,489,61902.0,66673.13270650503,4771.132706505022,20.221686793693916,37.012908072299815,0.15974289751730678,0.07707558247722242,,
