ano_teste,avaliacao,modelo,n_unidades,observado_total,previsto_total,wape,mae,mediana_ae,rmse,vies_relativo,spearman,wape_base,wape_persistencia,delta_wape_pp_vs_base,delta_wape_pp_vs_persistencia
2025,Ponta a ponta com total previsto pela Frente 1,PPML-FE base,834,154099.0,158810.17948116802,0.19861990743879157,36.69919558322583,24.68286236056646,55.44509934226734,0.03057242085391865,0.9223403713013374,0.19861990743879157,0.20154648729780283,0.0,-0.29265798590112635
2025,Distribuicao condicional ao total observado,PPML-FE base,834,154099.0,154099.0,0.1966097744396311,36.32778133258119,23.52567583105575,55.394882639150296,-2.951007799443631e-17,0.9223403713013374,0.1966097744396311,0.14501343525087554,0.0,5.159633918875556
2025,Ponta a ponta com total previsto pela Frente 1,Persistencia taxa t-1,834,154099.0,176639.03649819246,0.20154648729780283,37.23994262122796,26.93659789139963,53.61784759084455,0.14626984275168847,0.9549011637005281,0.19861990743879157,0.20154648729780283,0.29265798590112635,0.0
2025,Distribuicao condicional ao total observado,Persistencia taxa t-1,834,154099.0,154098.99999999997,0.14501343525087554,26.794275010461238,17.626608861293136,42.898272683977076,-1.1804031197774525e-16,0.9549011637005281,0.1966097744396311,0.14501343525087554,-5.159633918875556,0.0
2025,Ponta a ponta com total previsto pela Frente 1,PPML-FE + Caged pre-corte,834,154099.0,143332.50682666356,0.19113300688926557,35.31583360746875,22.56462215524632,56.28733887073766,-0.06986737858997438,0.9293206648676096,0.19861990743879157,0.20154648729780283,-0.7486900549525999,-1.0413480408537263
2025,Distribuicao condicional ao total observado,PPML-FE + Caged pre-corte,834,154099.0,154098.99999999997,0.18440116315005342,34.07198422093535,22.532256988909687,52.94164712562105,-1.8591349136494875e-16,0.9293206648676096,0.1966097744396311,0.14501343525087554,-1.2208611289577675,3.9387727899177882
2025,Ponta a ponta com total previsto pela Frente 1,PPML-FE Caged pre-corte sem tendencia,834,154099.0,218448.8068297115,0.46345088036850235,85.63227483681756,56.85554875300043,119.52474388806182,0.4175874394364109,0.8829487466946263,0.19861990743879157,0.20154648729780283,26.48309729297108,26.19043930706995
2025,Distribuicao condicional ao total observado,PPML-FE Caged pre-corte sem tendencia,834,154099.0,154099.0,0.2595913282209148,47.96494494905845,33.71955154235489,68.5265771330253,-1.1804031197774525e-16,0.8829487466946263,0.1966097744396311,0.14501343525087554,6.29815537812837,11.457789297003925
2025,Ponta a ponta com total previsto pela Frente 1,PPML-FE + Caged corte agosto,834,154099.0,141949.65383828877,0.1928329916964783,35.62994147174533,22.483910907926592,56.92538798070621,-0.07884117458069975,0.9296317485152876,0.19861990743879157,0.20154648729780283,-0.578691574231327,-0.8713495601324533
2025,Distribuicao condicional ao total observado,PPML-FE + Caged corte agosto,834,154099.0,154099.0,0.18388321500506224,33.97628243293176,22.276420515717653,52.838894675515164,-1.3722186267412884e-16,0.9296317485152876,0.1966097744396311,0.14501343525087554,-1.2726559434568852,3.8869779754186706
2025,Ponta a ponta com total previsto pela Frente 1,PPML-FE + Caged sem 2021,834,154099.0,159815.56750708475,0.16934561557841896,31.290155893307894,20.19236267915941,48.60490122596514,0.03709672033617819,0.9429512897145895,0.19861990743879157,0.20154648729780283,-2.927429186037261,-3.220087171938388
2025,Distribuicao condicional ao total observado,PPML-FE + Caged sem 2021,834,154099.0,154099.0,0.1653980371008847,30.560757936701716,19.470193673730513,48.67399472003398,-1.6451868481898243e-16,0.9429512897145895,0.1966097744396311,0.14501343525087554,-3.121173733874641,2.0384601850009147
