ano_teste,melhor_especificacao_caged,wape_pct,delta_wape_pp_vs_base,aceitar_caged,decisao_final
2024,PPML-FE Caged x grupo sem tendencia,35.44828155702583,-5.554363893860254,sim,nao incorporar ao modelo principal: a melhora de 2024 nao se repetiu em 2025
2025,PPML-FE Caged x grupo sem tendencia,26.60850369871054,2.6012956416229303,nao,nao incorporar ao modelo principal: a melhora de 2024 nao se repetiu em 2025
