ano_teste,modelo,n_celulas,observado_total,previsto_total,erro_total,mae,rmse,wape,vies_relativo,wape_base,delta_wape_pp
2024,PPML-FE base replicado,488,70828.0,42652.99417314073,-28175.00582685927,59.510970737609824,121.29624754588403,0.4100264545088608,-0.39779473974782953,0.4100264545088608,0.0
2024,Persistencia taxa t-1,488,70828.0,43286.281830787775,-27541.71816921222,57.75888909787562,122.9644951203742,0.39795473371778534,-0.388853534890329,0.4100264545088608,-1.207172079107549
2024,PPML-FE + Caged comum,488,70828.0,34579.81601421069,-36248.18398578931,75.0126438647478,147.49442794635604,0.516831905545786,-0.5117776018776374,0.4100264545088608,10.680545103692513
2024,PPML-FE + Caged x grupo,488,70828.0,34741.06467096922,-36086.93532903078,74.66354244457077,146.32559620676423,0.5144266210107661,-0.509500978836488,0.4100264545088608,10.440016650190525
2024,PPML-FE Caged x grupo sem tendencia,488,70828.0,47529.30682749557,-23298.69317250442,51.44940340411937,108.49174406489925,0.3544828155702583,-0.32894749495262354,0.4100264545088608,-5.554363893860254
2025,PPML-FE base replicado,489,61902.0,65114.26455375522,3212.264553755226,30.39047429754268,61.61584051600777,0.2400720805708761,0.051892742621486,0.2400720805708761,0.0
2025,Persistencia taxa t-1,489,61902.0,66673.13270650503,4771.132706505022,20.221686793693916,37.012908072299815,0.15974289751730678,0.07707558247722242,0.2400720805708761,-8.032918305356931
2025,PPML-FE + Caged comum,489,61902.0,73638.46706729129,11736.467067291287,37.94839566723937,78.90062592582451,0.29977650934186373,0.18959754236198,0.2400720805708761,5.970442877098764
2025,PPML-FE + Caged x grupo,489,61902.0,73774.07706106735,11872.077061067353,38.0838043582144,81.35306420456466,0.30084618156387266,0.19178826307820998,0.2400720805708761,6.077410099299657
2025,PPML-FE Caged x grupo sem tendencia,489,61902.0,50511.40059305618,-11390.599406943813,33.683427320195904,70.37336983974532,0.2660850369871054,-0.18401020010571245,0.2400720805708761,2.6012956416229303
