modelo,intercepto,coef_tendencia,coef_cag_fem_z,ridge_alpha,inicio_treino,fim_treino,mes_corte,media_cag_fem_treino,desvio_cag_fem_treino,exposicao_prevista_2025
PPML-FE + Caged feminino pre-corte,-5.186297154961815,-0.2488673106015816,0.1023684269396173,1e-08,2021,2024,9,0.005083723205515,0.0202795542577814,65114.26455375522
PPML-FE Caged feminino sem tendencia,-5.698117048162652,,-0.0849953396327726,1e-08,2021,2024,9,0.005083723205515,0.0202795542577814,65114.26455375522
PPML-FE + Caged feminino corte agosto,-5.173740983443385,-0.2556618185736385,0.1098250115975266,1e-08,2021,2024,8,0.0034619342017584,0.0193849870304328,65114.26455375522
PPML-FE + Caged feminino sem 2021,-5.666042334178835,-0.1366362165688918,0.5941880807858281,1e-08,2022,2024,9,0.005083723205515,0.0202795542577814,65114.26455375522
