unidade,nome_unidade_norm,demanda_2026_ppml,demanda_2026_persistencia,demanda_2026_ppml_historico,limite_p025_condicional,limite_p975_condicional,codigo_unidade,interesse_bruto_2025,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_total,fila_total,prev_ppml_base_2025,prev_persistencia_2025,prev_ppml_cag_fem_2025,tem_contexto_creche_2025
09036,CP INSTITUTO CONSTRUINDO AMANHA,230.35910796333005,176.31448742377896,82.59586732234824,133.5321965867336,351.50440507245196,9036,344,continuante,Parceira,Creche Parceira,9.0,9.7,SENADOR VASCONCELOS,-22.89620483,-43.53572883,151.0,20.0,409.068716102416,492.7605721016096,394.0821404607437,True
0716818,EDI PROFESSORA CLAUDIA PIRES CONTINO DA SILVA,225.56723018786494,188.72086346129885,345.5022828093361,131.9097383691916,342.92017232457886,716818,674,continuante,Pública,EDI,7.0,7.18,Gardênia Azul,-22.95761,-43.35047,138.0,178.0,823.337984333118,879.798260263508,737.5212656604742,True
06015,CP AEMMAC - PAVUNA,221.17119746211597,179.3017250244854,84.4738337724902,129.53207617481044,335.8239579560825,6015,356,continuante,Parceira,Creche Parceira,6.0,6.6,PAVUNA,-22.80827194,-43.36968857,357.0,11.0,277.8748202366484,334.6359109048244,267.68111740642973,True
0724804,EDI PROFESSORA MATILDE ROSA LOPES DE ARAUJO,215.45808019170522,221.2936754127444,52.55993960045612,126.76260304460035,326.9383037716439,724804,366,continuante,Pública,EDI,7.0,7.22,Itanhangá,-22.988367,-43.322451,100.0,96.0,429.29275298201503,570.9035732744394,384.55060249161954,True
07015,CP CRECHE CANTINHO FELIZ II,215.02956207029723,242.51632123165504,80.86132121424544,120.67434385651165,332.8058045466247,7015,323,continuante,Parceira,Creche Parceira,7.0,7.25,VARGEM GRANDE,-22.98393,-43.49695,216.0,11.0,270.2528100686491,325.4426166491973,260.33756167796906,True
03006,CP CRECHE CASA VIVA,214.07751379631492,216.53086991114225,115.13425559530278,120.13483321294626,331.23139122978387,3006,421,continuante,Parceira,Creche Parceira,3.0,3.1,ENGENHO DE DENTRO,-22.89574292,-43.29739802,82.0,107.0,393.04331626388137,473.4546541647928,378.6421906203437,True
0514602,CM JECIA DE FREITAS FERREIRA,213.86688270964865,189.2237208967647,380.4989814145626,124.47286057517815,325.90052137536816,514602,470,continuante,Pública,Creche,5.0,5.3,Irajá,-22.831074,-43.327411,140.0,31.0,525.8949702233477,531.372407975243,471.0831781104041,True
07038,CP CAAD UNIVERSO DAS FLORES,212.41490957681592,180.68436410988946,135.48110169763518,117.96009551411906,331.1307821608541,7038,541,continuante,Parceira,Creche Parceira,7.0,7.1,VILA VALQUEIRE,-22.88771,-43.36412,153.0,136.0,398.3849313599972,479.8899601437317,383.788662431121,True
08010,CP ASSOCIACAO CENTRO EDUCACIONAL REBRAL III,211.62256936700265,181.3677677883024,101.02015213219198,125.06382201821766,320.03650491029106,8010,557,continuante,Parceira,Creche Parceira,8.0,8.5,REALENGO,-22.88308324,-43.43710919,51.0,64.0,495.32528330244537,596.644797190195,477.18753328587184,True
07042,CP INSTITUTO EDUCACIONAL DIVA ALVES II,210.35181423303482,166.66549061928967,143.11346249224127,123.4903561876273,318.9925414666518,7042,717,continuante,Parceira,Creche Parceira,7.0,7.22,JACAREPAGUÁ,-22.95334,-43.37915,129.0,227.0,637.3704202161196,767.640070344858,614.0434068186071,True
06003,CP CRECHE NOSSO LAR,208.62432239789013,177.43499740949153,56.91722515400536,122.02199505542794,317.3349157839106,6003,416,continuante,Parceira,Creche Parceira,6.0,6.12,ANCHIETA,-22.82355,-43.40247,101.0,16.0,386.1758076389846,465.1806893347284,372.0255702559005,True
01010,CP CENTRO CULTURAL MONTESSORI - SAO CRISTOVAO,207.40366796374667,193.69351988470078,100.82032683521408,118.31713410632777,319.24355657422797,1010,465,continuante,Parceira,Creche Parceira,1.0,1.2,SÃO CRISTÓVÃO,-22.89682824,-43.23647362,296.0,38.0,364.8123773793261,439.4394654189727,351.44260310484816,True
07027,CP CRECHE MUNDO MAGICO I,206.79420433428115,152.3369972533325,51.357790318932466,121.95729259562641,312.93084646636686,7027,207,continuante,Parceira,Creche Parceira,7.0,7.24,ITANHANGÁ,-22.93257,-43.37475,171.0,1.0,269.4906536174052,324.5232872236346,259.60324905634707,True
