grupamento_norm,demanda_2026_ppml,demanda_2026_persistencia,demanda_2026_ppml_historico
BERCARIO,29986.892082678507,26080.576794288136,29986.892082678503
MATERNAL I,24429.510597534314,21531.048908927143,24429.51059753431
MATERNAL II,12384.511473867977,12106.004117064973,12384.511473867977
