modelo,intercepto,coef_tendencia,coef_cag_fem_z,ridge_alpha,inicio_treino,fim_treino,mes_corte,media_cag_fem_treino,desvio_cag_fem_treino,exposicao_prevista_2025
PPML-FE + Caged feminino pre-corte,-5.186297154961815,-0.24886731060158165,0.10236842693961738,1e-08,2021,2024,9,0.0050837232055150686,0.0202795542577814,65114.26455375522
PPML-FE Caged feminino sem tendencia,-5.6981170481626515,,-0.0849953396327726,1e-08,2021,2024,9,0.0050837232055150686,0.0202795542577814,65114.26455375522
PPML-FE + Caged feminino corte agosto,-5.173740983443385,-0.2556618185736385,0.10982501159752663,1e-08,2021,2024,8,0.003461934201758424,0.019384987030432815,65114.26455375522
PPML-FE + Caged feminino sem 2021,-5.666042334178835,-0.13663621656889186,0.5941880807858281,1e-08,2022,2024,9,0.0050837232055150686,0.0202795542577814,65114.26455375522
