ano_referencia,codigo,nome,tipo_oferta,tipo_unidade,cre,microarea,endereco,bairro,latitude,longitude,matriculas_total,mat_bercario,mat_maternal_1,mat_maternal_2,turmas_total,capacidade_meta,vagas_reportadas,fila_total,fila_bercario,fila_maternal_1,fila_maternal_2,fila_por_100_matriculas,classe_pressao_fila,referencia_matriculas,demanda_prevista,gap_demanda_oferta,prioridade_modelo
2025,2029,CP CASA DA CRIANÇA,Parceira,Creche Parceira,2.0,2.1,"RUA FERNANDES GUIMARÃES, 85",BOTAFOGO,-22.95376697,-43.17703523,184.0,52.0,67.0,65.0,0.0,192.0,0.0,41.0,40.0,1.0,0.0,22.282608695652176,Até 25 por 100 matriculados,Maio de 2025,,,
2025,430812,Espaço de Desenvolvimento Infantil Medalhista Olímpico Eder Francis Carbonera,Pública,EDI,4.0,4.5,"Rua 222, s/n Campus Vila Pinheiro - Maré -Comunidade Salsa e Merengue",Maré,-22.869632,-43.23396,71.0,0.0,24.0,47.0,3.0,0.0,0.0,40.0,0.0,24.0,16.0,56.33802816901409,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,716611,Creche Municipal Vitorino Freire,Pública,Creche,7.0,7.1,"Rua Das Águas Mornas, S/Nº",Vila Valqueire,-22.884513,-43.372318,61.0,0.0,25.0,36.0,3.0,0.0,0.0,39.0,0.0,36.0,3.0,63.9344262295082,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,1010,CP CENTRO CULTURAL MONTESSORI - SÃO CRISTÓVÃO,Parceira,Creche Parceira,1.0,1.2,"R. SÃO LUIZ GONZAGA, 1720",SÃO CRISTÓVÃO,-22.89682824,-43.23647362,296.0,102.0,81.0,113.0,0.0,297.0,0.0,38.0,24.0,14.0,0.0,12.837837837837839,Até 25 por 100 matriculados,Maio de 2025,,,
2025,1019632,Creche Municipal Miriam Pires,Pública,Creche,10.0,10.3,Rua 9 - Jardim Palmares s/nº,Paciência,-22.888021,-43.635612,149.0,50.0,51.0,48.0,6.0,0.0,0.0,38.0,34.0,4.0,0.0,25.503355704697988,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,313608,Creche Municipal Rachel Leite Dias,Pública,Creche,3.0,3.1,"Rua Fernão Cardim, s/n.º Comunidade Fernão Cardim s/n.º",Engenho de Dentro,-22.885294,-43.288125,146.0,50.0,47.0,49.0,6.0,0.0,0.0,38.0,25.0,0.0,13.0,26.027397260273972,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,515602,Creche Municipal São Miguel Arcanjo,Pública,Creche,5.0,5.8,Av. Edgard Romero 757,Madureira,-22.860679,-43.331741,146.0,49.0,48.0,49.0,6.0,0.0,0.0,38.0,37.0,0.0,1.0,26.027397260273972,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,227801,Espaço de Desenvolvimento Infantil Professora Edir Caseiro Ribeiro,Pública,EDI,2.0,2.8,"Estrada da Gávea, 452",Rocinha,-22.988,-43.24644,142.0,48.0,47.0,47.0,6.0,0.0,0.0,38.0,35.0,1.0,2.0,26.760563380281692,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,817815,Espaço de desenvolvimento Infantil Senhor João Gomes,Pública,EDI,8.0,8.18,Rua do Desenhista s/nº,Bangu,-22.869535,-43.478332,120.0,25.0,25.0,70.0,5.0,0.0,0.0,38.0,26.0,11.0,1.0,31.666666666666668,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,734801,Espaço de Desenvolvimento Infantil Jardim do Amanhã,Pública,EDI,7.0,7.12,RUA DAS NOZES S/N,Cidade de Deus,-22.949404,-43.370431,32.0,0.0,16.0,16.0,2.0,0.0,0.0,37.0,0.0,22.0,15.0,115.625,Mais de 75 por 100 matriculados,Consolidado público de 2025,,,
2025,6016,CP CRECHE NOSSO LAR II,Parceira,Creche Parceira,6.0,6.17,"AV. NAZARÉ, 340",RICARDO DE ALBUQUERQUE,-22.83996,-43.398,179.0,50.0,59.0,70.0,0.0,184.0,0.0,35.0,12.0,22.0,1.0,19.553072625698324,Até 25 por 100 matriculados,Maio de 2025,,,
2025,817804,Espaço de Desenvolvimento Infantil Professora Edith Marques de Souza,Pública,EDI,8.0,8.16,R. AÇAFRÃO S/Nº -,PADRE MIGUEL,-22.868071,-43.45675,118.0,23.0,49.0,46.0,5.0,0.0,0.0,35.0,35.0,0.0,0.0,29.661016949152543,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
